,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Leningradskiy,69.38,178.42,18.23,96,100,12.12,RU,1604362146
1,San Jose,37.34,-121.89,81.0,27,90,6.93,US,1604362072
2,Esperance,-33.87,121.9,59.0,100,75,10.29,AU,1604362147
3,Chokurdakh,70.63,147.92,-13.22,88,74,9.71,RU,1604362147
4,Santa Cruz Cabrália,-16.28,-39.02,68.0,88,90,6.93,BR,1604362147
5,Zandvoort,52.37,4.53,53.01,56,3,3.0,NL,1604362148
6,Shitanjing,39.23,106.34,33.69,70,10,5.12,CN,1604362149
7,Tuatapere,-46.13,167.68,61.0,64,45,1.99,NZ,1604362149
8,New Norfolk,-42.78,147.06,78.01,28,87,1.01,AU,1604362149
9,Los Llanos de Aridane,28.66,-17.92,71.6,64,0,9.17,ES,1604362150
10,Yeniseysk,58.45,92.17,30.02,96,99,8.01,RU,1604362150
11,Vaini,-21.2,-175.2,80.6,78,75,12.75,TO,1604362150
12,Qasigiannguit,68.82,-51.19,19.4,62,42,16.11,GL,1604362151
13,Nikolskoye,59.7,30.79,44.6,81,75,11.18,RU,1604362151
14,Busselton,-33.65,115.33,57.0,95,21,9.64,AU,1604362151
15,Turaif,31.67,38.66,59.0,82,0,5.82,SA,1604362152
16,Severo-Kuril'sk,50.68,156.12,43.48,88,100,27.81,RU,1604362153
17,Tasiilaq,65.61,-37.64,32.0,79,0,5.82,GL,1604362153
18,Ushuaia,-54.8,-68.3,50.0,81,0,13.87,AR,1604361943
19,Hilo,19.73,-155.09,84.2,66,90,5.46,US,1604362154
20,Hobart,-42.88,147.33,77.0,43,0,10.29,AU,1604361923
21,Arraial do Cabo,-22.97,-42.03,68.67,63,5,7.54,BR,1604362155
22,Bengkulu,-3.8,102.27,75.72,87,99,4.63,ID,1604362155
23,Rikitea,-23.12,-134.97,72.25,80,30,17.92,PF,1604362155
24,Lázaro Cárdenas,17.96,-102.2,83.14,75,6,9.93,MX,1604362148
25,Semporna,4.48,118.61,77.0,94,40,6.73,MY,1604362156
26,Ubari,26.59,12.78,59.86,57,3,5.57,LY,1604362157
27,Champerico,14.3,-91.92,87.8,70,40,6.93,GT,1604362157
28,Dolores,-36.31,-57.68,53.44,79,2,7.09,AR,1604361871
29,Saskylakh,71.92,114.08,8.31,94,99,7.67,RU,1604362158
30,Paamiut,61.99,-49.67,32.86,84,100,20.2,GL,1604362158
